4.315	166
4.325	170
4.335	138
4.345	149
4.355	138
4.365	158
4.375	153
4.385	148
4.395	148
4.405	145
4.415	171
4.425	148
4.435	160
4.445	129
4.455	156
4.465	127
4.475	138
4.485	123
4.495	125
4.505	108
4.515	115
4.525	122
4.535	116
4.545	140
4.555	142
4.565	120
4.575	124
4.585	134
4.595	134
4.605	121
4.615	132
4.625	105
4.635	116
4.645	108
4.655	117
4.665	119
4.675	117
4.685	111
4.695	118
4.705	131
4.715	106
4.725	143
4.735	105
4.745	119
4.755	102
4.765	110
4.775	98
4.785	105
4.795	102
4.805	85
4.815	107
4.825	96
4.835	108
4.845	93
4.855	98
4.865	97
4.875	91
4.885	98
4.895	85
4.905	109
4.915	115
4.925	88
4.935	89
4.945	89
4.955	83
4.965	103
4.975	84
4.985	111
4.995	91
5.005	82
5.015	75
5.025	86
5.035	69
5.045	78
5.055	98
5.065	73
5.075	94
5.085	63
5.095	91
5.105	84
5.115	90
5.125	82
5.135	86
5.145	83
5.155	94
5.165	73
5.175	90
5.185	63
5.195	78
5.205	75
5.215	87
5.225	87
5.235	74
5.245	77
5.255	64
5.265	65
5.275	63
5.285	80
5.295	68
5.305	81
5.315	83
5.325	72
5.335	62
5.345	69
5.355	84
5.365	67
5.375	65
5.385	54
5.395	58
5.405	68
5.415	69
5.425	58
5.435	59
5.445	82
5.455	59
5.465	61
5.475	63
5.485	63
5.495	68
5.505	71
5.515	72
5.525	54
5.535	68
5.545	77
5.555	43
5.565	58
5.575	66
5.585	45
5.595	77
5.605	58
5.615	59
5.625	51
5.635	48
5.645	58
5.655	50
5.665	56
5.675	49
5.685	58
5.695	57
5.705	55
5.715	69
5.725	58
5.735	57
5.745	46
5.755	50
5.765	51
5.775	58
5.785	51
5.795	50
5.805	59
5.815	51
5.825	59
5.835	56
5.845	49
5.855	51
5.865	52
5.875	55
5.885	54
5.895	41
5.905	66
5.915	52
5.925	40
5.935	44
5.945	52
5.955	52
5.965	56
5.975	56
5.985	56
5.995	49
6.005	48
6.015	43
6.025	43
6.035	49
6.045	40
6.055	31
6.065	54
6.075	49
6.085	37
6.095	42
6.105	62
6.115	49
6.125	42
6.135	46
6.145	48
6.155	52
6.165	44
6.175	45
6.185	43
6.195	27
6.205	37
6.215	41
6.225	43
6.235	30
6.245	41
6.255	42
6.265	46
6.275	36
6.285	43
6.295	38
6.305	29
6.315	41
6.325	40
6.335	37
6.345	44
6.355	45
6.365	36
6.375	34
6.385	47
6.395	41
6.405	27
6.415	26
6.425	45
6.435	33
6.445	41
6.455	43
6.465	31
6.475	38
6.485	33
6.495	36
6.505	31
6.515	30
6.525	26
6.535	32
6.545	34
6.555	37
6.565	29
6.575	27
6.585	34
6.595	33
6.605	26
6.615	26
6.625	22
6.635	27
6.645	30
6.655	26
6.665	29
6.675	40
6.685	33
6.695	34
6.705	25
6.715	32
6.725	33
6.735	25
6.745	26
6.755	31
6.765	26
6.775	32
6.785	28
6.795	32
6.805	28
6.815	24
6.825	24
6.835	24
6.845	30
6.855	24
6.865	25
6.875	35
6.885	30
6.895	31
6.905	22
6.915	31
6.925	27
6.935	19
6.945	26
6.955	28
6.965	35
6.975	18
6.985	20
6.995	23
7.005	22
7.015	23
7.025	28
7.035	26
7.045	34
7.055	22
7.065	31
7.075	36
7.085	32
7.095	32
7.105	25
7.115	22
7.125	26
7.135	31
7.145	25
7.155	23
7.165	28
7.175	32
7.185	20
7.195	29
7.205	16
7.215	12
7.225	21
7.235	16
7.245	20
7.255	27
7.265	25
7.275	18
7.285	31
7.295	21
7.305	27
7.315	22
7.325	34
7.335	30
7.345	23
7.355	20
7.365	23
7.375	21
7.385	25
7.395	24
7.405	20
7.415	17
7.425	17
7.435	21
7.445	20
7.455	22
7.465	23
7.475	16
7.485	19
7.495	20
7.505	20
7.515	22
7.525	16
7.535	18
7.545	19
7.555	15
7.565	27
7.575	25
7.585	20
7.595	16
7.605	16
7.615	20
7.625	22
7.635	13
7.645	18
7.655	16
7.665	20
7.675	18
7.685	16
7.695	20
7.705	18
7.715	26
7.725	21
7.735	15
7.745	16
7.755	23
7.765	21
7.775	22
7.785	23
7.795	24
7.805	24
7.815	15
7.825	19
7.835	21
7.845	24
7.855	18
7.865	22
7.875	16
7.885	20
7.895	16
7.905	21
7.915	12
7.925	17
7.935	12
7.945	19
7.955	20
7.965	17
7.975	18
7.985	16
7.995	28
8.005	19
8.015	21
8.025	17
8.035	21
8.045	17
8.055	17
8.065	12
8.075	21
8.085	20
8.095	17
8.105	16
8.115	15
8.125	16
8.135	17
8.145	14
8.155	19
8.165	18
8.175	17
8.185	12
8.195	20
8.205	26
8.215	20
8.225	16
8.235	15
8.245	15
8.255	16
8.265	13
8.275	14
8.285	12
8.295	12
8.305	10
8.315	17
8.325	12
8.335	15
8.345	24
8.355	14
8.365	5
8.375	15
8.385	16
8.395	13
8.405	13
8.415	14
8.425	13
8.435	10
8.445	10
8.455	15
8.465	15
8.475	23
8.485	17
8.495	8
8.505	16
8.515	17
8.525	10
8.535	9
8.545	8
8.555	19
8.565	15
8.575	11
8.585	13
8.595	17
8.605	13
8.615	12
8.625	14
8.635	12
8.645	22
8.655	11
8.665	8
8.675	8
8.685	12
8.695	15
8.705	14
8.715	11
8.725	11
8.735	17
8.745	10
8.755	14
8.765	8
8.775	13
8.785	12
8.795	10
8.805	7
8.815	8
8.825	12
8.835	14
8.845	13
8.855	10
8.865	11
8.875	14
8.885	16
8.895	6
8.905	10
8.915	9
8.925	8
8.935	13
8.945	15
8.955	17
8.965	18
8.975	11
8.985	11
8.995	8
9.005	11
9.015	11
9.025	11
9.035	10
9.045	13
9.055	11
9.065	12
9.075	13
9.085	10
9.095	8
9.105	15
9.115	9
9.125	10
9.135	9
9.145	8
9.155	13
9.165	15
9.175	11
9.185	16
9.195	8
9.205	5
9.215	12
9.225	6
9.235	7
9.245	10
9.255	16
9.265	6
9.275	13
9.285	12
9.295	10
9.305	11
9.315	10
9.325	6
9.335	10
9.345	5
9.355	8
9.365	15
9.375	6
9.385	7
9.395	6
9.405	7
9.415	6
9.425	10
9.435	10
9.445	9
9.455	9
9.465	11
9.475	9
9.485	7
9.495	12
9.505	12
9.515	3
9.525	7
9.535	9
9.545	9
9.555	2
9.565	5
9.575	7
9.585	7
9.595	7
9.605	8
9.615	10
9.625	8
9.635	8
9.645	9
9.655	11
9.665	8
9.675	8
9.685	8
9.695	10
9.705	11
9.715	6
9.725	10
9.735	15
9.745	8
9.755	6
9.765	7
9.775	10
9.785	9
9.795	9
9.805	6
9.815	5
9.825	10
9.835	7
9.845	6
9.855	9
9.865	11
9.875	11
9.885	6
9.895	5
9.905	7
9.915	10
9.925	5
9.935	10
9.945	11
9.955	13
9.965	12
9.975	10
9.985	11
9.995	11
10.005	7
10.015	8
10.025	3
10.035	9
10.045	6
10.055	12
10.065	7
10.075	6
10.085	11
10.095	4
10.105	10
10.115	5
10.125	10
10.135	4
10.145	5
10.155	6
10.165	7
10.175	8
10.185	8
10.195	5
10.205	9
10.215	15
10.225	6
10.235	13
10.245	10
10.255	11
10.265	7
10.275	7
10.285	13
10.295	4
10.305	8
10.315	7
10.325	6
10.335	15
10.345	9
10.355	7
10.365	3
10.375	5
10.385	5
10.395	4
10.405	5
10.415	7
10.425	6
10.435	6
10.445	13
10.455	10
10.465	6
10.475	6
10.485	8
10.495	1
10.505	6
10.515	5
10.525	6
10.535	2
10.545	8
10.555	3
10.565	5
10.575	10
10.585	4
10.595	3
10.605	4
10.615	3
10.625	6
10.635	6
10.645	6
10.655	9
10.665	6
10.675	9
10.685	5
10.695	7
10.705	7
10.715	6
10.725	13
10.735	7
10.745	7
10.755	10
10.765	6
10.775	7
10.785	7
10.795	7
10.805	6
10.815	4
10.825	6
10.835	4
10.845	6
10.855	7
10.865	7
10.875	2
10.885	2
10.895	15
10.905	6
10.915	4
10.925	4
10.935	8
10.945	2
10.955	1
10.965	8
10.975	5
10.985	7
10.995	3
11.005	8
11.015	5
11.025	1
11.035	5
11.045	5
11.055	2
11.065	4
11.075	7
11.085	4
11.095	5
11.105	6
11.115	5
11.125	9
11.135	8
11.145	5
11.155	8
11.165	7
11.175	5
11.185	6
11.195	4
11.205	8
11.215	8
11.225	5
11.235	2
11.245	1
11.255	1
11.265	5
11.275	2
11.285	6
11.295	3
11.305	10
11.315	3
11.325	5
11.335	3
11.345	5
11.355	7
11.365	5
11.375	7
11.385	7
11.395	7
11.405	5
11.415	4
11.425	2
11.435	3
11.445	4
11.455	7
11.465	2
11.475	3
11.485	4
11.495	0
11.505	5
11.515	3
11.525	4
11.535	4
11.545	5
11.555	2
11.565	2
11.575	7
11.585	3
11.595	3
11.605	3
11.615	3
11.625	3
11.635	4
11.645	7
11.655	7
11.665	5
11.675	8
11.685	3
11.695	7
11.705	4
11.715	5
11.725	5
11.735	4
11.745	5
11.755	7
11.765	5
11.775	4
11.785	2
11.795	3
11.805	0
11.815	5
11.825	5
11.835	7
11.845	4
11.855	4
11.865	4
11.875	3
11.885	5
11.895	4
11.905	1
11.915	4
11.925	1
11.935	8
11.945	6
11.955	0
11.965	3
11.975	4
11.985	4
11.995	2
12.005	7
12.015	1
12.025	1
12.035	0
12.045	3
12.055	4
12.065	4
12.075	5
12.085	2
12.095	2
12.105	2
12.115	2
12.125	8
12.135	4
12.145	3
12.155	5
12.165	8
12.175	5
12.185	2
12.195	4
12.205	4
12.215	3
12.225	0
12.235	3
12.245	5
12.255	0
12.265	3
12.275	6
12.285	6
12.295	3
12.305	4
12.315	3
12.325	0
12.335	4
12.345	3
12.355	6
12.365	5
12.375	3
12.385	2
12.395	4
12.405	3
12.415	4
12.425	7
12.435	4
12.445	1
12.455	0
12.465	7
12.475	1
12.485	2
12.495	8
12.505	5
12.515	3
12.525	4
12.535	4
12.545	5
12.555	5
12.565	0
12.575	1
12.585	5
12.595	5
12.605	3
12.615	3
12.625	5
12.635	2
12.645	6
